name,stocking_info,longitude,county,latitude,alt,size,location
Swallow - West,"Rainbow trout: 2008-08-10 00:00:00__300,Rainbow trout: 2001-07-25 00:00:00__300",-121.112772,Chelan County,47.625716,5596,2.7,47.625716 -121.112772
Swallow - South,"Rainbow trout: 2013-08-23 00:00:00__610,Rainbow trout: 2007-08-17 00:00:00__585",-121.093841,Chelan County,47.621795,5520,8.9,47.621795 -121.093841
Susan Jane,"Rainbow trout: 2013-09-18 00:00:00__40,Rainbow trout: 2013-09-15 00:00:00__60,Rainbow trout: 2010-08-25 00:00:00__120,Rainbow trout: 2007-07-10 00:00:00__120,Rainbow trout: 2004-09-10 00:00:00__119,Rainbow trout: 2001-08-10 00:00:00__80",-121.066413,Chelan County,47.721283,4591,2,47.721283 -121.066413
Sprite,"Rainbow trout: 2011-10-09 00:00:00__230,Rainbow trout: 2008-09-17 00:00:00__230,Rainbow trout: 2002-10-21 00:00:00__60",-121.053598,Chelan County,47.541589,5990,3.2,47.541589 -121.053598
Spirit,"Rainbow trout: 2009-09-24 00:00:00__130,Rainbow trout: 2003-08-25 00:00:00__127",-120.963284,Chelan County,47.489446,5628,1.6,47.489446 -120.963284
Sally Ann,"Cutthroat trout: 2013-08-08 00:00:00__179,Cutthroat trout: 2009-10-05 00:00:00__180,Cutthroat trout: 2005-08-06 00:00:00__180,Cutthroat trout: 2001-09-08 00:00:00__180",-121.152994,Chelan County,47.961356,5475,2.2,47.961356 -121.152994
Rock,Golden trout: 2001-09-27 00:00:00__210,-120.963897,Chelan County,47.797634,5862,2.7,47.797634 -120.963897
Rettebdel,"Rainbow trout: 2010-09-22 00:00:00__25,Rainbow trout: 2009-09-14 00:00:00__0,Rainbow trout: 2002-09-28 00:00:00__25",-121.093042,Chelan County,47.64223,5164,1,47.64223 -121.093042
Poe Mountain,"Cutthroat trout: 2009-10-02 00:00:00__80,Cutthroat trout: 2003-09-26 00:00:00__79",-121.043329,Chelan County,47.916901,5429,1.2,47.916901 -121.043329
MM,"Rainbow trout: 2011-09-29 00:00:00__80,Rainbow trout: 2006-10-09 00:00:00__79,Rainbow trout: 2001-08-21 00:00:00__80",-121.057354,Chelan County,47.560732,5156,0.7,47.560732 -121.057354
Milk,"Cutthroat trout: 2010-09-04 00:00:00__149,Golden trout: 2006-09-23 00:00:00__150,Golden trout: 2001-09-27 00:00:00__168",-121.11775,Chelan County,47.641797,5150,2.5,47.641797 -121.11775
